com.samsung.shealth.sleep_data,6156001,4
start_time,update_time,create_time,sleep_uuid,sleep_status,time_offset,deviceuuid,comment,pkg_name,json_version,datauuid
2020-06-08 23:09:00.000,2020-06-09 02:02:53.368,2020-06-09 02:02:53.368,a4035341-74e5-fbb7-79b4-571c452975ab,6bfdef73-866a-6294-ca5e-369676669de0.sleep_status.json,UTC+0200,ltHsc2Rtmp,,com.sec.android.app.shealth,1,6bfdef73-866a-6294-ca5e-369676669de0,
2020-06-09 03:23:00.000,2020-06-09 05:52:27.325,2020-06-09 05:52:27.325,c7be07f2-be5a-5802-318d-8e724c5bc1e0,8e7e173a-7380-df9c-b4f0-b70841132080.sleep_status.json,UTC+0200,ltHsc2Rtmp,,com.sec.android.app.shealth,1,8e7e173a-7380-df9c-b4f0-b70841132080,
2020-06-02 22:10:00.000,2020-06-03 02:12:58.285,2020-06-03 02:12:58.285,ad1705e7-98da-f42e-f40d-11ec72f8ff42,92af4ab4-a071-d4af-097b-9ae70ba295e1.sleep_status.json,UTC+0200,ltHsc2Rtmp,,com.sec.android.app.shealth,1,92af4ab4-a071-d4af-097b-9ae70ba295e1,
2020-06-27 03:23:00.000,2020-06-27 07:08:01.347,2020-06-27 07:08:01.347,d8bd2bba-b3bc-f962-cbbf-ba6df5aae174,56b94b69-0696-151c-9ac2-08a0228b7ae6.sleep_status.json,UTC+0200,ltHsc2Rtmp,,com.sec.android.app.shealth,1,56b94b69-0696-151c-9ac2-08a0228b7ae6,
2020-06-09 05:56:00.000,2020-06-09 07:26:40.335,2020-06-09 07:26:40.335,46759685-bb71-7bb2-17ef-5c23170de3f4,894a9958-ac67-5c5b-d6e5-68b1b1272e7c.sleep_status.json,UTC+0200,ltHsc2Rtmp,,com.sec.android.app.shealth,1,894a9958-ac67-5c5b-d6e5-68b1b1272e7c,
2020-06-21 05:12:00.000,2020-06-21 06:35:01.637,2020-06-21 06:35:01.637,5722b1db-80b3-b063-78a9-c1515c4512e0,f63c088f-7736-d2a9-cce6-bf33801218f7.sleep_status.json,UTC+0200,ltHsc2Rtmp,,com.sec.android.app.shealth,1,f63c088f-7736-d2a9-cce6-bf33801218f7,
2020-06-21 03:55:00.000,2020-06-21 05:08:55.334,2020-06-21 05:08:55.334,c88f32e5-2172-a816-b6ad-2da091133575,2e1609fe-4c31-5bb0-1884-f9f96dded59b.sleep_status.json,UTC+0200,ltHsc2Rtmp,,com.sec.android.app.shealth,1,2e1609fe-4c31-5bb0-1884-f9f96dded59b,
2020-06-14 01:27:00.000,2020-06-14 02:04:15.337,2020-06-14 02:04:15.337,a676c72d-252b-9536-582b-957d8d12d7f9,9bd21cdd-45fb-7b7f-3f08-6f7c78379322.sleep_status.json,UTC+0200,ltHsc2Rtmp,,com.sec.android.app.shealth,1,9bd21cdd-45fb-7b7f-3f08-6f7c78379322,
2020-06-23 01:38:00.000,2020-06-23 02:03:43.316,2020-06-23 02:03:43.316,24c75112-f49c-b835-8bca-23e76a6bf652,88e8383d-3463-4683-6875-9406b608ab32.sleep_status.json,UTC+0200,ltHsc2Rtmp,,com.sec.android.app.shealth,1,88e8383d-3463-4683-6875-9406b608ab32,
2020-08-24 22:31:00.000,2020-08-25 00:06:25.303,2020-08-25 00:06:25.303,b73d9c30-bcf2-fd7d-9768-81107de707ea,1fe0c262-ded1-dfcf-dadf-b8db975a4bfd.sleep_status.json,UTC+0200,ltHsc2Rtmp,,com.sec.android.app.shealth,1,1fe0c262-ded1-dfcf-dadf-b8db975a4bfd,
