com.samsung.shealth.tracker.pedometer_step_count,6156001,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
24488,4,0,38,2021-02-11 06:13:00.000,,,2021-02-11 06:15:05.850,2021-02-11 06:15:05.850,38,1.1388888,27.89,1.49,UTC+0100,F5JW66Upzd,com.sec.android.app.shealth,2021-02-11 06:14:00.000,057ad9c2-4fba-4d5d-8c5c-e17de542123a,
60000,4,0,108,2021-02-11 06:14:00.000,230002,,2021-02-11 06:15:00.162,2021-02-11 06:15:00.161,108,1.3653333,81.92,3.59,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 06:14:59.999,11f0c2df-eeb4-0fe8-29f4-d1ac8d5367ab,
17984,4,0,31,2021-02-11 05:47:00.000,230002,,2021-02-11 05:50:01.993,2021-02-11 05:50:01.990,31,1.25,22.48,1.07,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 05:47:59.999,a1376441-04dc-14e5-1110-a8dc8ae061d8,
8102,4,0,19,2021-02-11 06:10:00.000,230002,,2021-02-11 06:11:11.483,2021-02-11 06:11:11.482,19,1.9166666,15.53,0.65,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 06:10:59.999,51ddd28b-0514-6917-1341-c95dfbbedf96,
14824,4,0,27,2021-02-11 06:25:00.000,230002,,2021-02-11 06:25:48.249,2021-02-11 06:25:48.248,27,1.3888888,20.59,0.96,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 06:25:59.999,2bd347ad-bf0d-bd21-f6fb-79444c6b943b,
37596,4,0,64,2021-02-11 06:15:00.000,,,2021-02-11 06:35:03.175,2021-02-11 06:35:03.175,64,1.2777778,48.04,2.42,UTC+0100,F5JW66Upzd,com.sec.android.app.shealth,2021-02-11 06:16:00.000,9d2a6489-be5a-44c4-b8d4-968f95f31517,
20226,4,0,32,2021-02-11 06:30:00.000,,,2021-02-11 06:35:03.585,2021-02-11 06:35:03.585,48,1.6666666,33.71,1.55,UTC+0100,F5JW66Upzd,com.sec.android.app.shealth,2021-02-11 06:31:00.000,67ca9256-5448-4a89-bd5f-5b064e60c190,
28125,4,0,50,2021-02-11 06:34:00.000,230002,,2021-02-11 06:35:00.089,2021-02-11 06:34:09.372,51,1.3717091,38.58,1.75,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 06:34:59.999,81f41746-cc2d-30e2-a012-ab9a5d978b6e,
17467,4,11,27,2021-02-11 06:42:00.000,230002,,2021-02-11 06:42:39.398,2021-02-11 06:42:39.394,41,1.9722222,34.45,2.0,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 06:42:59.999,b9363841-a39d-76fb-ea7a-786bf35636c2,
9151,4,0,13,2021-02-11 05:28:00.000,230002,,2021-02-11 05:28:36.625,2021-02-11 05:28:36.439,13,1.0042232,9.19,0.54,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 05:28:59.999,abcec284-83fd-5dfd-fa6c-1253d3f8a15b,
26713,4,0,51,2021-02-11 06:29:00.000,230002,,2021-02-11 06:30:34.296,2021-02-11 06:29:27.294,51,1.5018958,40.121,1.99,UTC+0100,ltHsc2Rtmp,com.sec.android.app.shealth,2021-02-11 06:29:59.999,4b58b7ed-2017-0708-eb0f-a13e1a618b5f,
60000,4,0,106,2021-02-11 05:45:00.000,,,2021-02-11 05:50:01.175,2021-02-11 05:50:01.175,106,1.3364999,80.19,4.24,UTC+0100,F5JW66Upzd,com.sec.android.app.shealth,2021-02-11 05:46:00.000,28ad2a39-94a7-4e4d-9b63-52c04ea1ef87,
