com.samsung.shealth.tracker.pedometer_day_summary,6156001,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
6592,c9b15861-c8a7-4657-9750-f6a9cdcd2c5e.binning_data.json,3830476,6000,24,2020-04-15 10:47:23.630,com.sec.android.app.shealth,2020-04-15 10:47:23.630,,2.3611112,4861.298,232.04,6568,ltHsc2Rtmp,com.sec.android.app.shealth,0,c9b15861-c8a7-4657-9750-f6a9cdcd2c5e.achievement.json,c9b15861-c8a7-4657-9750-f6a9cdcd2c5e,1585440000000,
3377,3a2ac925-9e4a-4103-8c33-934486b43f6f.binning_data.json,2025297,6000,34,2020-04-15 10:47:23.594,com.sec.android.app.shealth,2020-04-15 10:47:23.594,,3.0,2460.799,123.63,3343,ltHsc2Rtmp,com.sec.android.app.shealth,0,3a2ac925-9e4a-4103-8c33-934486b43f6f.achievement.json,3a2ac925-9e4a-4103-8c33-934486b43f6f,1585612800000,
3762,55ea6c90-5928-4c24-9750-39d9db318fc7.binning_data.json,2085036,6000,123,2020-04-15 10:47:24.652,com.sec.android.app.shealth,2020-04-15 10:47:24.652,55ea6c90-5928-4c24-9750-39d9db318fc7.source_info.json,1.3550887,2825.41,141.97,3639,VfS0qUERdZ,com.sec.android.app.shealth,0,55ea6c90-5928-4c24-9750-39d9db318fc7.achievement.json,55ea6c90-5928-4c24-9750-39d9db318fc7,1585699200000,
6839,336cf9c4-7b27-433f-9df4-901d87163048.binning_data.json,3952397,6000,139,2020-04-15 10:47:24.326,com.sec.android.app.shealth,2020-04-15 10:47:24.326,336cf9c4-7b27-433f-9df4-901d87163048.source_info.json,1.2859854,5082.726,251.3,6700,VfS0qUERdZ,com.sec.android.app.shealth,0,336cf9c4-7b27-433f-9df4-901d87163048.achievement.json,336cf9c4-7b27-433f-9df4-901d87163048,1586044800000,
64,e601e549-3d17-4b7f-a6c6-26e83b6051d2.binning_data.json,32435,6000,4,2020-04-15 10:47:24.275,com.sec.android.app.shealth,2020-04-15 10:47:24.275,e601e549-3d17-4b7f-a6c6-26e83b6051d2.source_info.json,1.5233433,49.41,2.24,60,VfS0qUERdZ,com.sec.android.app.shealth,0,e601e549-3d17-4b7f-a6c6-26e83b6051d2.achievement.json,e601e549-3d17-4b7f-a6c6-26e83b6051d2,1586131200000,
2304,48cdb158-38ca-4168-8081-159c0be43363.binning_data.json,1334803,6000,13,2020-04-15 10:47:25.102,com.sec.android.app.shealth,2020-04-15 10:47:25.102,48cdb158-38ca-4168-8081-159c0be43363.source_info.json,1.2947675,1728.26,85.76,2291,VfS0qUERdZ,com.sec.android.app.shealth,0,48cdb158-38ca-4168-8081-159c0be43363.achievement.json,48cdb158-38ca-4168-8081-159c0be43363,1585180800000,
2853,2feb47a1-18fd-4ab9-9e83-ee8b94a55f60.binning_data.json,1630982,6000,4,2020-04-15 10:47:24.835,com.sec.android.app.shealth,2020-04-15 10:47:24.835,2feb47a1-18fd-4ab9-9e83-ee8b94a55f60.source_info.json,1.2827411,2092.128,101.18,2849,VfS0qUERdZ,com.sec.android.app.shealth,0,2feb47a1-18fd-4ab9-9e83-ee8b94a55f60.achievement.json,2feb47a1-18fd-4ab9-9e83-ee8b94a55f60,1585526400000,
9950,40c50932-6f56-4107-a36c-42ace2c1016e.binning_data.json,5616988,6000,106,2020-04-16 22:55:03.143,com.sec.android.app.shealth,2020-04-16 06:12:29.495,,2.9444442,7424.814,361.661,9844,ltHsc2Rtmp,com.sec.android.app.shealth,0,40c50932-6f56-4107-a36c-42ace2c1016e.achievement.json,40c50932-6f56-4107-a36c-42ace2c1016e,1586995200000,
6592,8c25f414-5af9-4b5d-a45b-7ede42838870.binning_data.json,3832518,6000,24,2020-04-15 10:47:24.810,com.sec.android.app.shealth,2020-04-15 10:47:24.810,8c25f414-5af9-4b5d-a45b-7ede42838870.source_info.json,1.2684344,4861.298,232.04,6568,VfS0qUERdZ,com.sec.android.app.shealth,0,8c25f414-5af9-4b5d-a45b-7ede42838870.achievement.json,8c25f414-5af9-4b5d-a45b-7ede42838870,1585440000000,
3730,6d2fdcde-dc8c-4464-9317-c44cee91a4ab.binning_data.json,2160181,6000,57,2020-04-18 23:15:04.592,com.sec.android.app.shealth,2020-04-18 03:36:50.295,,3.1942399,2760.664,136.619,3673,ltHsc2Rtmp,com.sec.android.app.shealth,0,6d2fdcde-dc8c-4464-9317-c44cee91a4ab.achievement.json,6d2fdcde-dc8c-4464-9317-c44cee91a4ab,1587168000000,
980,f32dbf16-5bef-422d-9bf7-bc0d4ae82086.binning_data.json,564101,6000,9,2020-04-15 10:47:25.441,com.sec.android.app.shealth,2020-04-15 10:47:25.441,f32dbf16-5bef-422d-9bf7-bc0d4ae82086.source_info.json,1.2871261,726.07,35.63,971,VfS0qUERdZ,com.sec.android.app.shealth,0,f32dbf16-5bef-422d-9bf7-bc0d4ae82086.achievement.json,f32dbf16-5bef-422d-9bf7-bc0d4ae82086,1585008000000,
