com.samsung.shealth.stand_day_summary,6156001,1
stand_time,update_time,create_time,deviceuuid,pkg_name,datauuid,day_time
8192,2020-10-09 11:49:02.645,2020-10-09 04:12:12.408,ltHsc2Rtmp,com.sec.android.app.shealth,2bc56c60-b950-2ba9-a16c-462ce3595a24,1602201600000,
524288,2020-10-15 17:33:44.264,2020-10-14 22:00:05.550,ltHsc2Rtmp,com.sec.android.app.shealth,a08e57f8-3981-3709-9575-636006ff3878,1602720000000,
589824,2020-11-15 18:53:39.601,2020-11-15 07:37:18.394,ltHsc2Rtmp,com.sec.android.app.shealth,466db5a5-5ef5-fb74-2df7-00bad191b930,1605398400000,
3153920,2020-11-21 20:58:29.702,2020-11-20 23:00:06.915,ltHsc2Rtmp,com.sec.android.app.shealth,1f7412a3-9d97-030e-887f-1263803eff78,1605916800000,
2164992,2020-11-27 20:10:21.236,2020-11-26 23:00:07.949,ltHsc2Rtmp,com.sec.android.app.shealth,2cecfdf9-0745-e131-bd6f-17bd29586e25,1606435200000,
4259840,2020-12-03 21:11:06.269,2020-12-02 23:00:06.207,ltHsc2Rtmp,com.sec.android.app.shealth,5a9c8b38-1dd6-d039-b2a9-072c609bcec7,1606953600000,
4718592,2020-12-09 21:09:18.227,2020-12-08 23:00:11.755,ltHsc2Rtmp,com.sec.android.app.shealth,2604b1c3-f79d-2905-937c-c779ab43f1a2,1607472000000,
16384,2020-12-15 13:24:08.133,2020-12-14 23:00:06.683,ltHsc2Rtmp,com.sec.android.app.shealth,a4e73825-21d7-022a-7208-6a8607b140b2,1607990400000,
328192,2020-12-21 17:32:03.374,2020-12-20 23:00:02.514,ltHsc2Rtmp,com.sec.android.app.shealth,9c88020f-7899-9ad8-ee68-d4156da42838,1608508800000,
81920,2020-12-27 15:10:26.263,2020-12-26 23:00:03.162,ltHsc2Rtmp,com.sec.android.app.shealth,553f4578-8f8d-cdcb-5c43-cbd2c234ddca,1609027200000,
2293760,2021-01-02 20:37:04.242,2021-01-01 23:15:02.843,ltHsc2Rtmp,com.sec.android.app.shealth,9addf4a0-993a-4004-e09d-3bde931c6e1f,1609545600000,
2233344,2021-01-08 20:58:55.345,2021-01-07 23:00:04.318,ltHsc2Rtmp,com.sec.android.app.shealth,af2dc41c-f53f-fc3f-68f6-728478fabf08,1610064000000,
2262016,2021-01-14 20:32:38.255,2021-01-13 23:00:11.029,ltHsc2Rtmp,com.sec.android.app.shealth,75be27f6-929f-f313-756e-60ba36ba246e,1610582400000,
328192,2021-01-20 17:29:43.385,2021-01-19 23:00:07.057,ltHsc2Rtmp,com.sec.android.app.shealth,d2fe8820-41d3-90d5-c3f7-e80c8c85ac28,1611100800000,
