com.samsung.shealth.rewards,6156001,4
number_of_streak,start_time,exercise_type,device_type,exercise_session_id,update_time,create_time,source_pkg_name,program_id,title,time_offset,extra_data,deviceuuid,pkg_name,controller_id,end_time,datauuid,is_visible
,2020-04-21 10:15:01.355,,,,2020-04-22 16:00:35.049,2020-04-21 10:15:01.375,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":true,""mValue"":127,""mValue2"":60}",F5JW66Upzd,com.sec.android.app.shealth,goal.activity,2020-04-21 10:15:01.355,22e8c0a7-a623-4918-bb2c-1dac71617743,0,
,2020-04-16 22:00:00.000,,100003,,2020-04-19 22:00:00.900,2020-04-19 22:00:00.900,,,tracker_pedometer_reward_most_walking_day,UTC+0200,"{""mTarget"":-1,""mValue"":12642}",F5JW66Upzd,com.sec.android.app.shealth,tracker.pedometer,2020-04-16 22:00:00.000,8b36298a-1a7e-4486-bc82-9e6be3e847f8,1,
,2020-04-21 22:00:00.000,,100003,,2020-05-19 21:55:04.844,2020-04-22 19:33:05.294,,,tracker_pedometer_reward_target_achieved,UTC+0200,"{""mTarget"":6000,""mValue"":10529}",F5JW66Upzd,com.sec.android.app.shealth,tracker.pedometer,2020-04-21 22:00:00.000,b133d8c5-5bba-45b3-a13d-8d7a92c58ee2,1,
,2020-04-20 22:00:00.000,,100003,,2020-05-18 20:13:40.589,2020-04-21 11:55:00.494,,,tracker_pedometer_reward_target_achieved,UTC+0200,"{""mTarget"":6000,""mValue"":12011}",F5JW66Upzd,com.sec.android.app.shealth,tracker.pedometer,2020-04-20 22:00:00.000,96a2b1e1-36d0-4fd3-94ec-1c9d98605214,1,
,2020-04-18 22:00:00.000,,100003,,2020-04-23 23:55:04.933,2020-04-23 23:55:04.933,,,tracker_pedometer_reward_most_walking_day,UTC+0200,"{""mTarget"":-1,""mValue"":15491}",F5JW66Upzd,com.sec.android.app.shealth,tracker.pedometer,2020-04-18 22:00:00.000,13974fd3-8641-4380-ae60-285f31d25436,1,
,2020-04-21 22:00:00.000,,2399999,,2020-05-19 21:55:02.903,2020-04-22 19:33:05.716,,,tracker_pedometer_reward_target_achieved,UTC+0200,"{""mTarget"":6000,""mValue"":8115}",F5JW66Upzd,com.sec.android.app.shealth,tracker.pedometer,2020-04-21 22:00:00.000,a703d8f8-8fd0-4ec2-91bf-dbec7363e0a8,1,
,2020-04-18 22:00:00.000,,100003,,2020-04-24 09:53:30.352,2020-04-24 09:53:30.352,,,tracker_pedometer_reward_most_walking_day,UTC+0200,"{""mTarget"":-1,""mValue"":15491}",F5JW66Upzd,com.sec.android.app.shealth,tracker.pedometer,2020-04-18 22:00:00.000,d8c4a25f-8257-4590-9a03-2906ff618282,1,
,2020-04-18 22:00:00.000,,100003,,2020-04-24 03:09:20.843,2020-04-24 03:09:20.843,,,tracker_pedometer_reward_most_walking_day,UTC+0200,"{""mTarget"":-1,""mValue"":15491}",F5JW66Upzd,com.sec.android.app.shealth,tracker.pedometer,2020-04-18 22:00:00.000,9121e70a-d680-482b-a713-f6b05c87f1af,1,
,2020-04-18 22:00:00.000,,100003,,2020-04-24 18:22:23.573,2020-04-24 18:22:23.573,,,tracker_pedometer_reward_most_walking_day,UTC+0200,"{""mTarget"":-1,""mValue"":15491}",F5JW66Upzd,com.sec.android.app.shealth,tracker.pedometer,2020-04-18 22:00:00.000,7ef17239-cf45-4dcb-84b0-921250acedb4,1,
,2020-04-18 22:00:00.000,,100003,,2020-04-24 12:55:03.491,2020-04-24 12:55:03.491,,,tracker_pedometer_reward_most_walking_day,UTC+0200,"{""mTarget"":-1,""mValue"":15491}",F5JW66Upzd,com.sec.android.app.shealth,tracker.pedometer,2020-04-18 22:00:00.000,f13a51e4-738e-493b-8245-9eb9f774d0fe,1,
