com.samsung.shealth.exercise,6156001,11
live_data_internal,mission_value,subset_data,total_calorie,completion_status,pace_info_id,pace_live_data,sensing_status,source_type,mission_type,tracking_status,program_id,reward_status,heart_rate_sample_count,mission_extra_value,program_schedule_id,heart_rate_deviceuuid,location_data_internal,additional_internal,com.samsung.health.exercise.duration,com.samsung.health.exercise.additional,com.samsung.health.exercise.mean_caloricburn_rate,com.samsung.health.exercise.location_data,com.samsung.health.exercise.start_time,com.samsung.health.exercise.exercise_type,com.samsung.health.exercise.custom,com.samsung.health.exercise.max_altitude,com.samsung.health.exercise.incline_distance,com.samsung.health.exercise.mean_heart_rate,com.samsung.health.exercise.count_type,com.samsung.health.exercise.mean_rpm,com.samsung.health.exercise.min_altitude,com.samsung.health.exercise.max_heart_rate,com.samsung.health.exercise.update_time,com.samsung.health.exercise.create_time,com.samsung.health.exercise.max_power,com.samsung.health.exercise.max_speed,com.samsung.health.exercise.mean_cadence,com.samsung.health.exercise.min_heart_rate,com.samsung.health.exercise.count,com.samsung.health.exercise.distance,com.samsung.health.exercise.max_caloricburn_rate,com.samsung.health.exercise.calorie,com.samsung.health.exercise.max_cadence,com.samsung.health.exercise.decline_distance,com.samsung.health.exercise.vo2_max,com.samsung.health.exercise.time_offset,com.samsung.health.exercise.deviceuuid,com.samsung.health.exercise.max_rpm,com.samsung.health.exercise.comment,com.samsung.health.exercise.live_data,com.samsung.health.exercise.mean_power,com.samsung.health.exercise.mean_speed,com.samsung.health.exercise.pkg_name,com.samsung.health.exercise.altitude_gain,com.samsung.health.exercise.altitude_loss,com.samsung.health.exercise.exercise_custom_type,com.samsung.health.exercise.end_time,com.samsung.health.exercise.datauuid
,0,,55.0,0,,,,4,0,,,0,,0.0,,,,,801262,,,,2020-04-13 12:21:54.728,1001,,,,,30001,,,,2020-04-13 12:36:16.432,2020-04-13 12:36:16.432,,1.5280317,,,1096,807.258,,55.0,,,,UTC+0200,ltHsc2Rtmp,,,130d2be6-05ae-976a-0fb0-1e936ec9d72a.com.samsung.health.exercise.live_data.json,,1.2420726,com.sec.android.app.shealth,,,,2020-04-13 12:35:15.990,130d2be6-05ae-976a-0fb0-1e936ec9d72a,
,0,,82.43,0,,,,4,0,,,0,,0.0,,,,,690080,,,,2020-04-03 14:10:02.078,11007,,,,,,,,,2020-04-03 14:23:39.337,2020-04-03 14:23:39.337,,,,,,,,82.43,,,,UTC+0200,ltHsc2Rtmp,,,7e477778-72de-96e8-2b3e-751781fd145d.com.samsung.health.exercise.live_data.json,,,com.sec.android.app.shealth,,,,2020-04-03 14:21:32.158,7e477778-72de-96e8-2b3e-751781fd145d,
,0,,330.0,0,,,,4,0,,,0,,0.0,,,,,3576889,,,,2020-04-02 13:07:31.675,1001,,,,,30001,,,,2020-04-02 14:08:10.541,2020-04-02 14:08:10.541,,1.8888888,,,4687,3414.099,,330.0,,,,UTC+0200,ltHsc2Rtmp,,,f52970f6-c930-8d77-0f79-66f1a98189a9.com.samsung.health.exercise.live_data.json,,1.1938998,com.sec.android.app.shealth,,,,2020-04-02 14:07:08.564,f52970f6-c930-8d77-0f79-66f1a98189a9,
,0,,56.88,0,,,,4,0,,,0,,0.0,,,,,600000,,,,2020-04-03 08:44:40.242,11007,,,,,,,,,2020-04-03 08:54:42.607,2020-04-03 08:54:42.607,,,,,,,,56.88,,,,UTC+0200,ltHsc2Rtmp,,,c9665c82-0f64-4dc4-59d8-7d640454e9e2.com.samsung.health.exercise.live_data.json,,,com.sec.android.app.shealth,,,,2020-04-03 08:54:40.242,c9665c82-0f64-4dc4-59d8-7d640454e9e2,
,0,,108.0,0,,,,4,0,,,0,,0.0,,,,,1476603,,,,2020-04-05 16:09:35.607,1001,,,,,30001,,,,2020-04-05 16:35:11.940,2020-04-05 16:35:11.940,,1.5277778,,,2178,1591.152,,108.0,,,,UTC+0200,ltHsc2Rtmp,,,8e2f1dcc-50a0-d401-59ea-8edc5b849695.com.samsung.health.exercise.live_data.json,,1.2488652,com.sec.android.app.shealth,,,,2020-04-05 16:34:12.210,8e2f1dcc-50a0-d401-59ea-8edc5b849695,
,0,,106.01,0,,,,4,0,,,0,,0.0,,,,,613280,,,,2020-04-03 12:48:40.077,11007,,,,,,,,,2020-04-03 13:00:59.373,2020-04-03 13:00:59.373,,,,,,,,106.01,,,,UTC+0200,ltHsc2Rtmp,,,e83cfba4-4ef6-fac1-77de-e171911bdf5f.com.samsung.health.exercise.live_data.json,,,com.sec.android.app.shealth,,,,2020-04-03 12:58:53.357,e83cfba4-4ef6-fac1-77de-e171911bdf5f,
,0,,323.0,0,,,,4,0,,,0,,0.0,,,,,2841145,,,,2020-04-02 14:55:00.193,1001,,,,,30001,,,,2020-04-02 15:43:22.447,2020-04-02 15:43:22.447,,1.5518204,,,3505,2603.521,,323.0,,,,UTC+0200,ltHsc2Rtmp,,,788cc474-72ad-f102-161b-6cea988648a1.com.samsung.health.exercise.live_data.json,,1.3063993,com.sec.android.app.shealth,,,,2020-04-02 15:42:21.338,788cc474-72ad-f102-161b-6cea988648a1,
,0,,164.0,0,,,,4,0,,,0,,0.0,,,,,1986072,,,,2020-04-04 15:44:23.735,1001,,,,,30001,,,,2020-04-04 16:18:31.543,2020-04-04 16:18:31.543,,1.3888888,,,3321,2479.329,,164.0,,,,UTC+0200,ltHsc2Rtmp,,,d0b7d0ed-7a52-5563-83d4-20cacb776d8c.com.samsung.health.exercise.live_data.json,,1.3152411,com.sec.android.app.shealth,,,,2020-04-04 16:17:29.807,d0b7d0ed-7a52-5563-83d4-20cacb776d8c,
,0,,76.85,0,,,,4,0,,,0,,0.0,,,,,638880,,,,2020-03-27 15:16:46.070,11007,,,,,,,,,2020-03-27 15:29:32.263,2020-03-27 15:29:32.263,,,,,,,,76.85,,,,UTC+0100,ltHsc2Rtmp,,,9b8fddb7-c874-3177-88e1-cd3f6016d6cf.com.samsung.health.exercise.live_data.json,,,com.sec.android.app.shealth,,,,2020-03-27 15:27:24.950,9b8fddb7-c874-3177-88e1-cd3f6016d6cf,
,0,,55.0,0,,,,4,0,,,0,,0.0,,,,,1385873,,,,2020-04-04 16:21:39.756,1001,,,,,30001,,,,2020-04-04 16:45:47.528,2020-04-04 16:45:47.528,,1.3815,,,2206,1629.508,,55.0,,,,UTC+0200,ltHsc2Rtmp,,,24d53812-0566-1aa8-a035-844b0e202e93.com.samsung.health.exercise.live_data.json,,1.273246,com.sec.android.app.shealth,,,,2020-04-04 16:44:45.629,24d53812-0566-1aa8-a035-844b0e202e93,
