com.samsung.shealth.step_daily_trend,6156001,6
binning_data,update_time,create_time,source_pkg_name,source_type,count,speed,distance,calorie,deviceuuid,pkg_name,datauuid,day_time
99daa5ae-c046-42ad-855f-5655a8654ca6.binning_data.json,2020-04-15 10:47:23.402,2020-04-15 10:47:23.402,com.sec.android.app.shealth,23,980,2.1666667,726.07,35.63,ltHsc2Rtmp,com.sec.android.app.shealth,99daa5ae-c046-42ad-855f-5655a8654ca6,1585008000000,
25459a46-3f6f-40cf-bb83-b71ae1bb4053.binning_data.json,2020-04-15 10:47:23.405,2020-04-15 10:47:23.405,com.sec.android.app.shealth,23,1503,2.4444444,1117.43,57.55,ltHsc2Rtmp,com.sec.android.app.shealth,25459a46-3f6f-40cf-bb83-b71ae1bb4053,1585094400000,
42cc3cd0-e03e-4872-ac15-7cb678293f79.binning_data.json,2020-04-15 10:47:23.532,2020-04-15 10:47:23.532,com.sec.android.app.shealth,23,2853,2.5555558,2092.128,101.18,ltHsc2Rtmp,com.sec.android.app.shealth,42cc3cd0-e03e-4872-ac15-7cb678293f79,1585526400000,
141437a5-e7ee-4490-86a6-acace2f1d8b2.binning_data.json,2020-04-15 10:47:23.667,2020-04-15 10:47:23.667,com.sec.android.app.shealth,23,6592,2.3611112,4861.298,232.04,ltHsc2Rtmp,com.sec.android.app.shealth,141437a5-e7ee-4490-86a6-acace2f1d8b2,1585440000000,
d1d867a6-d1da-432c-a373-64793c053165.binning_data.json,2020-04-15 16:55:03.213,2020-04-15 10:47:03.014,com.sec.android.app.shealth,23,1391,3.0277777,1088.556,57.42,ltHsc2Rtmp,com.sec.android.app.shealth,d1d867a6-d1da-432c-a373-64793c053165,1586908800000,
3f2c12dd-fdd8-4646-bae6-b4fdfa173c9a.binning_data.json,2020-04-15 10:47:23.830,2020-04-15 10:47:23.830,com.sec.android.app.shealth,23,64,2.0000002,49.41,2.24,ltHsc2Rtmp,com.sec.android.app.shealth,3f2c12dd-fdd8-4646-bae6-b4fdfa173c9a,1586131200000,
26566fa3-6888-4a40-8b74-a0cde5f8381b.binning_data.json,2020-04-15 10:47:23.640,2020-04-15 10:47:23.640,com.sec.android.app.shealth,23,3377,3.0,2460.799,123.63,ltHsc2Rtmp,com.sec.android.app.shealth,26566fa3-6888-4a40-8b74-a0cde5f8381b,1585612800000,
417ede72-535c-4591-a5ea-6d098c62874c.binning_data.json,2020-04-15 10:47:24.353,2020-04-15 10:47:24.353,com.sec.android.app.shealth,-2,6839,1.2859854,5082.726,251.3,VfS0qUERdZ,com.sec.android.app.shealth,417ede72-535c-4591-a5ea-6d098c62874c,1586044800000,
bf684fef-3b59-47d8-a77a-4531bc035b63.binning_data.json,2020-04-15 10:47:23.864,2020-04-15 10:47:23.864,com.sec.android.app.shealth,23,10154,6.8055553,7509.799,369.2,ltHsc2Rtmp,com.sec.android.app.shealth,bf684fef-3b59-47d8-a77a-4531bc035b63,1585785600000,
5a55ece4-f80d-427f-89e5-ebd600e31802.binning_data.json,2020-04-15 10:47:23.661,2020-04-15 10:47:23.661,com.sec.android.app.shealth,23,6000,3.7777777,4516.562,229.39,ltHsc2Rtmp,com.sec.android.app.shealth,5a55ece4-f80d-427f-89e5-ebd600e31802,1585353600000,
e58411d2-6395-49fd-a48b-6241f402ae5a.binning_data.json,2020-04-15 10:47:23.583,2020-04-15 10:47:23.583,com.sec.android.app.shealth,23,3762,3.5026045,2825.41,141.97,ltHsc2Rtmp,com.sec.android.app.shealth,e58411d2-6395-49fd-a48b-6241f402ae5a,1585699200000,
70089ba4-4724-4efa-974c-56789ba6466f.binning_data.json,2020-04-15 10:47:24.451,2020-04-15 10:47:24.451,com.sec.android.app.shealth,-2,7398,1.2948823,5500.808,262.4,VfS0qUERdZ,com.sec.android.app.shealth,70089ba4-4724-4efa-974c-56789ba6466f,1585958400000,
35d298b6-ab81-4973-902e-ca7bd3a48f6e.binning_data.json,2020-04-15 10:47:23.892,2020-04-15 10:47:23.892,com.sec.android.app.shealth,23,6839,4.583334,5082.726,251.3,ltHsc2Rtmp,com.sec.android.app.shealth,35d298b6-ab81-4973-902e-ca7bd3a48f6e,1586044800000,
4aef8710-41c1-47e6-babf-a806e406f739.binning_data.json,2020-04-15 10:47:24.893,2020-04-15 10:47:24.893,com.sec.android.app.shealth,-2,3377,1.2149954,2460.799,123.63,VfS0qUERdZ,com.sec.android.app.shealth,4aef8710-41c1-47e6-babf-a806e406f739,1585612800000,
5e1417a7-4791-437c-9554-6882856b8be6.binning_data.json,2020-04-15 10:47:24.582,2020-04-15 10:47:24.582,com.sec.android.app.shealth,-2,10154,1.261478,7509.799,369.2,VfS0qUERdZ,com.sec.android.app.shealth,5e1417a7-4791-437c-9554-6882856b8be6,1585785600000,
63a8d091-56d1-49bc-b0a0-63a98c0c97f7.binning_data.json,2020-04-15 10:47:24.300,2020-04-15 10:47:24.300,com.sec.android.app.shealth,-2,64,1.5233433,49.41,2.24,VfS0qUERdZ,com.sec.android.app.shealth,63a8d091-56d1-49bc-b0a0-63a98c0c97f7,1586131200000,
2c579fff-06bd-4aa6-8d9b-29ecf7fb12c9.binning_data.json,2020-04-15 10:47:23.880,2020-04-15 10:47:23.880,com.sec.android.app.shealth,23,7398,2.4722226,5500.808,262.4,ltHsc2Rtmp,com.sec.android.app.shealth,2c579fff-06bd-4aa6-8d9b-29ecf7fb12c9,1585958400000,
8afe3931-3456-4301-a013-35f1baaac4e2.binning_data.json,2020-04-15 10:47:24.676,2020-04-15 10:47:24.676,com.sec.android.app.shealth,-2,3762,1.3550887,2825.41,141.97,VfS0qUERdZ,com.sec.android.app.shealth,8afe3931-3456-4301-a013-35f1baaac4e2,1585699200000,
5f8dd652-7567-4850-84d6-0e6eb4c0ae40.binning_data.json,2020-04-15 10:47:24.898,2020-04-15 10:47:24.898,com.sec.android.app.shealth,-2,2853,1.2827411,2092.128,101.18,VfS0qUERdZ,com.sec.android.app.shealth,5f8dd652-7567-4850-84d6-0e6eb4c0ae40,1585526400000,
bf5a55b6-b574-4d52-ba7a-8a170df9f63a.binning_data.json,2020-04-15 10:47:25.124,2020-04-15 10:47:25.124,com.sec.android.app.shealth,-2,6000,1.3521237,4516.562,229.39,VfS0qUERdZ,com.sec.android.app.shealth,bf5a55b6-b574-4d52-ba7a-8a170df9f63a,1585353600000,
31f6c46c-9e23-437f-b5e3-3f957b75f0b3.binning_data.json,2020-04-15 10:47:24.832,2020-04-15 10:47:24.832,com.sec.android.app.shealth,-2,6592,1.2684344,4861.298,232.04,VfS0qUERdZ,com.sec.android.app.shealth,31f6c46c-9e23-437f-b5e3-3f957b75f0b3,1585440000000,
62e73622-6447-4c2c-92de-0f59497e36bc.binning_data.json,2020-04-15 10:47:25.489,2020-04-15 10:47:25.489,com.sec.android.app.shealth,-2,980,1.2871261,726.07,35.63,VfS0qUERdZ,com.sec.android.app.shealth,62e73622-6447-4c2c-92de-0f59497e36bc,1585008000000,
ecd1da45-5eb2-44c2-aa76-51c17c25ef44.binning_data.json,2020-04-15 10:47:25.151,2020-04-15 10:47:25.151,com.sec.android.app.shealth,-2,2304,1.2947675,1728.26,85.76,VfS0qUERdZ,com.sec.android.app.shealth,ecd1da45-5eb2-44c2-aa76-51c17c25ef44,1585180800000,
01d1eb75-4882-4cee-991f-3bb69f994b91.binning_data.json,2020-04-15 10:47:33.814,2020-04-15 10:47:33.814,com.sec.android.app.shealth,23,4946,3.9444444,3729.68,188.5,ltHsc2Rtmp,com.sec.android.app.shealth,01d1eb75-4882-4cee-991f-3bb69f994b91,1585872000000,
53d6f9cc-0828-4fe7-b30f-31ba51ea4271.binning_data.json,2020-04-15 10:47:24.611,2020-04-15 10:47:24.611,com.sec.android.app.shealth,-2,4946,1.32435,3729.68,188.5,VfS0qUERdZ,com.sec.android.app.shealth,53d6f9cc-0828-4fe7-b30f-31ba51ea4271,1585872000000,
19446a8d-3ab4-428a-982d-580af7f73252.binning_data.json,2020-04-15 22:00:00.444,2020-04-15 22:00:00.444,com.sec.android.app.shealth,0,4998,1.6111112,3428.28,236.72,F5JW66Upzd,com.sec.android.app.shealth,19446a8d-3ab4-428a-982d-580af7f73252,1586908800000,
763033b7-5093-4079-9221-32f352e68271.binning_data.json,2020-04-15 10:47:25.440,2020-04-15 10:47:25.440,com.sec.android.app.shealth,-2,1503,1.2523314,1117.43,57.55,VfS0qUERdZ,com.sec.android.app.shealth,763033b7-5093-4079-9221-32f352e68271,1585094400000,
e496c817-294b-419c-962d-5aaa52a5d1c8.binning_data.json,2020-04-17 23:57:56.613,2020-04-17 02:10:20.379,com.sec.android.app.shealth,-2,12642,1.2746849,9402.145,490.08,VfS0qUERdZ,com.sec.android.app.shealth,e496c817-294b-419c-962d-5aaa52a5d1c8,1587081600000,
4520b94d-d460-4e0c-88a8-3bcb5f5d0eaa.binning_data.json,2020-04-16 22:55:03.183,2020-04-16 06:12:29.516,com.sec.android.app.shealth,23,9950,2.9444442,7424.814,361.661,ltHsc2Rtmp,com.sec.android.app.shealth,4520b94d-d460-4e0c-88a8-3bcb5f5d0eaa,1586995200000,
230c2602-44b5-46e0-bfd4-881d1f3e9027.binning_data.json,2020-04-17 23:57:56.908,2020-04-17 02:10:20.752,com.sec.android.app.shealth,23,10764,2.8286657,8027.191,380.36,ltHsc2Rtmp,com.sec.android.app.shealth,230c2602-44b5-46e0-bfd4-881d1f3e9027,1587081600000,
6bddd88c-50ba-4a9a-9f0e-f788de40c4f4.binning_data.json,2020-04-15 10:47:25.135,2020-04-15 10:47:25.135,com.sec.android.app.shealth,-2,3802,1.2813662,2843.93,142.51,VfS0qUERdZ,com.sec.android.app.shealth,6bddd88c-50ba-4a9a-9f0e-f788de40c4f4,1585267200000,
eb83919b-1a7e-4ede-8414-63f8d6398964.binning_data.json,2020-04-20 18:24:27.659,2020-04-19 02:15:04.699,com.sec.android.app.shealth,-2,15491,1.2843763,11532.263,603.631,VfS0qUERdZ,com.sec.android.app.shealth,eb83919b-1a7e-4ede-8414-63f8d6398964,1587254400000,
a9ec9148-37f1-4c2d-bdd8-01948558b02d.binning_data.json,2020-04-18 23:15:04.652,2020-04-18 03:36:50.345,com.sec.android.app.shealth,23,3730,3.1942399,2760.664,136.619,ltHsc2Rtmp,com.sec.android.app.shealth,a9ec9148-37f1-4c2d-bdd8-01948558b02d,1587168000000,
de7f7697-64a5-4198-b369-0a9a7da33af6.binning_data.json,2020-04-20 18:24:27.665,2020-04-19 02:15:04.982,com.sec.android.app.shealth,23,8898,2.5555558,6621.297,310.36,ltHsc2Rtmp,com.sec.android.app.shealth,de7f7697-64a5-4198-b369-0a9a7da33af6,1587254400000,
60b02bb6-da7f-4db9-ada1-6cc95a67f2db.binning_data.json,2020-04-17 22:00:00.567,2020-04-17 22:00:00.567,com.sec.android.app.shealth,0,11023,1.6111112,8170.18,436.49,F5JW66Upzd,com.sec.android.app.shealth,60b02bb6-da7f-4db9-ada1-6cc95a67f2db,1587081600000,
137ab49d-3607-4177-953b-5a8da3bfcf99.binning_data.json,2020-04-21 22:15:03.871,2020-04-21 02:15:02.372,com.sec.android.app.shealth,-2,12011,1.3185787,9009.038,455.499,VfS0qUERdZ,com.sec.android.app.shealth,137ab49d-3607-4177-953b-5a8da3bfcf99,1587427200000,
9897ed88-e633-4adf-88ae-33089a315098.binning_data.json,2020-04-16 22:55:02.795,2020-04-16 06:12:29.159,com.sec.android.app.shealth,-2,11737,1.2888423,8741.533,458.301,VfS0qUERdZ,com.sec.android.app.shealth,9897ed88-e633-4adf-88ae-33089a315098,1586995200000,
0d356cab-37df-4b6d-96c8-63bf226ddae9.binning_data.json,2020-04-20 22:55:03.480,2020-04-20 18:24:27.580,com.sec.android.app.shealth,23,7001,3.75,5243.388,248.99,ltHsc2Rtmp,com.sec.android.app.shealth,0d356cab-37df-4b6d-96c8-63bf226ddae9,1587340800000,
ba80b541-63a2-4c45-98d4-6a5d3732997e.binning_data.json,2020-04-21 22:15:04.818,2020-04-21 02:15:02.932,com.sec.android.app.shealth,23,11025,5.333333,8253.44,396.339,ltHsc2Rtmp,com.sec.android.app.shealth,ba80b541-63a2-4c45-98d4-6a5d3732997e,1587427200000,
65e2b3b0-5cc1-4430-9c27-27e6677f32c9.binning_data.json,2020-04-16 22:00:00.474,2020-04-16 22:00:00.474,com.sec.android.app.shealth,0,8065,1.9722222,5988.9,324.96,F5JW66Upzd,com.sec.android.app.shealth,65e2b3b0-5cc1-4430-9c27-27e6677f32c9,1586995200000,
733c7f26-6407-4284-b857-ff77ff7dcb42.binning_data.json,2020-04-18 23:15:04.586,2020-04-18 03:36:49.584,com.sec.android.app.shealth,-2,4375,1.2407757,3228.087,166.309,VfS0qUERdZ,com.sec.android.app.shealth,733c7f26-6407-4284-b857-ff77ff7dcb42,1587168000000,
c8da1141-cdfc-4d9b-9d3a-1c9e513b5cc3.binning_data.json,2020-04-23 23:55:04.587,2020-04-23 03:35:08.369,com.sec.android.app.shealth,-2,7565,1.2631087,5615.71,288.11,VfS0qUERdZ,com.sec.android.app.shealth,c8da1141-cdfc-4d9b-9d3a-1c9e513b5cc3,1587600000000,
b9efb5b6-170a-4b73-864a-4967d5cd3c26.binning_data.json,2020-04-19 22:00:00.650,2020-04-19 22:00:00.650,com.sec.android.app.shealth,0,14004,1.8212973,10434.41,556.74,F5JW66Upzd,com.sec.android.app.shealth,b9efb5b6-170a-4b73-864a-4967d5cd3c26,1587254400000,
c2471829-dbf8-4e05-bfda-052b3525fc5b.binning_data.json,2020-04-22 22:35:04.920,2020-04-22 03:13:35.716,com.sec.android.app.shealth,23,8115,5.0,6174.393,299.779,ltHsc2Rtmp,com.sec.android.app.shealth,c2471829-dbf8-4e05-bfda-052b3525fc5b,1587513600000,
ad0d0e2c-e482-40eb-b0c5-8f96099400ff.binning_data.json,2020-04-23 23:55:05.294,2020-04-23 09:09:11.283,com.sec.android.app.shealth,23,4893,6.1906543,3678.628,180.721,ltHsc2Rtmp,com.sec.android.app.shealth,ad0d0e2c-e482-40eb-b0c5-8f96099400ff,1587600000000,
5ae8383e-fc10-44fb-9f75-63c6901cc371.binning_data.json,2020-04-18 22:00:01.539,2020-04-18 22:00:01.539,com.sec.android.app.shealth,0,3008,1.6295046,2186.58,117.56,F5JW66Upzd,com.sec.android.app.shealth,5ae8383e-fc10-44fb-9f75-63c6901cc371,1587168000000,
0ac0cb58-6259-4d57-9423-67668a1dfd8e.binning_data.json,2020-04-20 22:55:02.862,2020-04-20 03:32:22.623,com.sec.android.app.shealth,-2,7870,1.2989844,5874.598,283.32,VfS0qUERdZ,com.sec.android.app.shealth,0ac0cb58-6259-4d57-9423-67668a1dfd8e,1587340800000,
cad48e88-92cb-47ac-8d98-4cb60cd76e3b.binning_data.json,2020-04-21 22:00:00.716,2020-04-21 22:00:00.716,com.sec.android.app.shealth,0,9290,1.5,6915.48,354.22,F5JW66Upzd,com.sec.android.app.shealth,cad48e88-92cb-47ac-8d98-4cb60cd76e3b,1587427200000,
bad5828f-5c75-40e7-bb73-d7fd803bb13e.binning_data.json,2020-04-25 23:15:05.336,2020-04-25 00:49:58.711,com.sec.android.app.shealth,23,7772,2.6111114,5744.763,289.79,ltHsc2Rtmp,com.sec.android.app.shealth,bad5828f-5c75-40e7-bb73-d7fd803bb13e,1587772800000,
80e916bc-e4de-4acf-80df-b52d25bd07b4.binning_data.json,2020-04-22 22:35:04.614,2020-04-22 03:13:34.958,com.sec.android.app.shealth,-2,10529,1.2910582,7873.213,401.769,VfS0qUERdZ,com.sec.android.app.shealth,80e916bc-e4de-4acf-80df-b52d25bd07b4,1587513600000,
64a79751-76a9-4996-a3c8-1315184aa3e0.binning_data.json,2020-04-24 20:59:39.497,2020-04-24 03:09:20.784,com.sec.android.app.shealth,23,5676,2.6854033,4210.014,213.78,ltHsc2Rtmp,com.sec.android.app.shealth,64a79751-76a9-4996-a3c8-1315184aa3e0,1587686400000,
a0c2a42b-d35a-4c57-8618-207e208151a8.binning_data.json,2020-04-25 23:15:04.661,2020-04-25 00:49:57.850,com.sec.android.app.shealth,-2,8791,1.2266824,6512.87,337.06,VfS0qUERdZ,com.sec.android.app.shealth,a0c2a42b-d35a-4c57-8618-207e208151a8,1587772800000,
22ec66e9-1085-48d8-a91b-6be777bf0299.binning_data.json,2020-04-20 22:00:00.496,2020-04-20 22:00:00.496,com.sec.android.app.shealth,0,2162,1.5,1575.19,82.84,F5JW66Upzd,com.sec.android.app.shealth,22ec66e9-1085-48d8-a91b-6be777bf0299,1587340800000,
e16a6370-82d2-41dd-bb2b-f3d3667d4684.binning_data.json,2020-04-23 22:00:00.598,2020-04-23 22:00:00.598,com.sec.android.app.shealth,0,5770,1.75,4214.21,220.66,F5JW66Upzd,com.sec.android.app.shealth,e16a6370-82d2-41dd-bb2b-f3d3667d4684,1587600000000,
f18714f0-f9ef-4ecc-a1ee-006f92babc02.binning_data.json,2020-04-22 22:00:01.656,2020-04-22 22:00:01.656,com.sec.android.app.shealth,0,3071,1.6548176,2173.46,126.7,F5JW66Upzd,com.sec.android.app.shealth,f18714f0-f9ef-4ecc-a1ee-006f92babc02,1587513600000,
210f6abe-1b18-40c0-9c57-5d9f08144b81.binning_data.json,2020-04-24 20:59:38.993,2020-04-24 03:09:20.262,com.sec.android.app.shealth,-2,6852,1.2068475,5060.32,266.10098,VfS0qUERdZ,com.sec.android.app.shealth,210f6abe-1b18-40c0-9c57-5d9f08144b81,1587686400000,
9296019c-72c8-4faa-9596-59302d3d6d56.binning_data.json,2020-04-27 20:35:04.428,2020-04-27 01:35:02.431,com.sec.android.app.shealth,-2,5065,1.2117388,3724.996,191.351,VfS0qUERdZ,com.sec.android.app.shealth,9296019c-72c8-4faa-9596-59302d3d6d56,1587945600000,
aaeb7eb5-0b98-43ec-930d-e6e4e2fa8f9f.binning_data.json,2020-04-27 20:35:05.243,2020-04-27 02:14:36.121,com.sec.android.app.shealth,23,4413,2.752213,3250.58,161.701,ltHsc2Rtmp,com.sec.android.app.shealth,aaeb7eb5-0b98-43ec-930d-e6e4e2fa8f9f,1587945600000,
9b669713-3d14-4aaf-965c-795e635666a1.binning_data.json,2020-04-25 22:00:00.752,2020-04-25 22:00:00.752,com.sec.android.app.shealth,0,6411,1.6111112,4685.8,251.60999,F5JW66Upzd,com.sec.android.app.shealth,9b669713-3d14-4aaf-965c-795e635666a1,1587772800000,
2e521147-abd8-48a1-a5cc-77356f719291.binning_data.json,2020-04-26 22:55:04.156,2020-04-25 23:15:05.239,com.sec.android.app.shealth,23,3762,3.2777774,2791.822,140.619,ltHsc2Rtmp,com.sec.android.app.shealth,2e521147-abd8-48a1-a5cc-77356f719291,1587859200000,
